Work Item Type,Requesting Dept/Agency,Received,Support Team,Category,Q1 - Courtesy,Q2 - Technical,Q3 - Timeliness,Q4 - Quality,Q5 - Overall
Service Request,Information Systems,7/31/2015,The ISD Service Desk,Countywide Business Software,4,4,4,4,4
Service Request,Human Resources,7/24/2015,The ISD Web Services Team,Countywide Business Software,4,,2,2,3
Service Request,Board of Supervisors,7/24/2015,The ISD Web Services Team,Countywide Business Software,4,4,4,4,4
Service Request,Health Services,6/19/2015,The ISD Service Desk,Countywide Business Software,4,4,4,4,4
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,6/12/2015,The ISD Web Services Team,Countywide Business Software,4,4,4,4,4
Service Request,Board of Supervisors,6/5/2015,The ISD Web Services Team,Countywide Business Software,4,5,4,4,4
Service Request,General Services,1/15/2016,The ISD Network Infrastructure Team,Firewall,4,,1,2,3
Incident,Auditor Controller Treasurer Tax Collector,7/29/2016,The ISD Datacenter Operations Team,General Business Software,4,4,5,4,4
Service Request,Health Services,7/22/2016,The ISD Desktop Support Team,General Business Software,4,5,5,5,5
Service Request,Sheriff Detention,5/27/2016,The ISD Desktop Support Team,General Business Software,4,5,5,5,5
Service Request,Public Defender,3/25/2016,The ISD Service Desk,General Business Software,4,4,4,4,4
Service Request,Sheriff's Office,3/11/2016,The ISD Integrated Justice System Team,General Business Software,4,5,5,5,5
Service Request,Health Services,1/11/2016,The ISD Service Desk,General Business Software,4,5,5,3,3
Service Request,Probation,12/16/2015,The ISD Service Desk,General Business Software,4,,4,4,4
Service Request,Sheriff's Office,11/20/2015,The ISD Integrated Justice System Team,General Business Software,4,5,3,4,3
Incident,Auditor-Controller-Treasurer-Tax Collector,11/12/2015,The ISD Application Services Team,General Business Software,4,3,5,5,4
Incident,Sheriff's Office,9/27/2015,The ISD Integrated Justice System Team,General Business Software,4,4,4,4,4
Incident,Sheriff's Office,9/26/2015,The ISD Integrated Justice System Team,General Business Software,4,4,5,4,4
Service Request,Sheriff's Office,9/4/2015,The ISD Desktop Support Team,General Business Software,4,,4,4,4
Incident,Auditor-Controller-Treasurer-Tax Collector,8/18/2015,The ISD Application Services Team,General Business Software,4,4,4,4,4
Incident,Economic Development Board,7/24/2015,The ISD Desktop Support Team,General Business Software,4,4,5,4,4
Service Request,Health Services,6/19/2015,The ISD Desktop Support Team,General Business Software,4,3,1,1,1
Service Request,Transportation & Public Works,7/1/2016,The ISD Geographic Information System Team,GPS Device,4,3,5,4,4
Incident,Health Services,2/24/2016,The ISD Desktop Support Team,Inkjet Printer,4,4,5,4,5
Service Request,Sheriff Detention,7/8/2016,The ISD Service Desk,IT Management Software,4,4,4,4,4
Service Request,Transportation & Public Works,6/24/2016,The ISD Service Desk,IT Management Software,4,4,4,4,4
Service Request,Transportation & Public Works,6/17/2016,The ISD Service Desk,IT Management Software,4,4,4,4,4
Incident,Probation,4/26/2016,The ISD Desktop Support Team,IT Management Software,4,4,5,5,5
Service Request,District Attorney,3/25/2016,The ISD Service Desk,IT Management Software,4,4,4,4,4
Service Request,Sheriff's Office,2/19/2016,The ISD Service Desk,IT Management Software,4,4,4,4,4
Service Request,District Attorney,1/8/2016,The ISD Desktop Support Team,IT Management Software,4,4,4,4,4
Service Request,Health Services,1/8/2016,The ISD Desktop Support Team,IT Management Software,4,5,5,5,5
Incident,Fire and Emergency Services,12/17/2015,The ISD Desktop Support Team,IT Management Software,4,5,5,5,5
Service Request,Permit & Resource Management,12/4/2015,The ISD Service Desk,IT Management Software,4,4,4,4,4
Incident,Sheriff's Office,11/30/2015,The ISD Integrated Justice System Team,IT Management Software,4,4,3,4,4
Service Request,General Services,9/18/2015,The ISD Datacenter Operations Team,IT Management Software,4,4,3,3,4
Service Request,,7/8/2016,The ISD Desktop Support Team,Laptop,4,4,5,5,5
Incident,Board of Supervisors,7/30/2015,The ISD Desktop Support Team,Laptop,4,5,5,4,5
Incident,Health Services,6/29/2015,The ISD Desktop Support Team,Laser Printer,4,5,3,4,4
Service Request,Sheriff's Office,3/11/2016,The ISD Desktop Support Team,Multi-function Printer,4,4,4,4,4
Incident,Sheriff's Office,2/10/2016,The ISD Service Desk,Operating System Software,4,4,3,4,4
Incident,Sheriff Detention,8/18/2016,The ISD Desktop Support Team,Other,4,5,4,4,4
Service Request,Sheriff Detention,8/5/2016,The ISD Desktop Support Team,Other,4,4,5,4,4
Service Request,Human Resources,7/15/2016,The ISD Service Desk,Other,4,4,4,4,4
Service Request,Sheriff Law Enforcement,7/1/2016,The ISD Network Infrastructure Team,Other,4,5,4,5,4
Service Request,Transportation & Public Works,6/17/2016,The ISD Service Desk,Other,4,4,4,4,4
Service Request,CDC,5/20/2016,The ISD Desktop Support Team,Other,4,4,4,4,3
Service Request,Fire & Emergency Services,5/20/2016,The ISD Desktop Support Team,Other,4,4,3,4,4
Service Request,Auditor Controller Treasurer Tax Collector,5/20/2016,The ISD Desktop Support Team,Other,4,4,3,4,4
Service Request,Human Resources,5/20/2016,The ISD Network Infrastructure Team,Other,4,4,4,4,4
Service Request,Sheriff Detention,5/13/2016,The ISD Desktop Support Team,Other,4,4,5,5,5
Service Request,General Services,5/13/2016,The ISD Service Desk,Other,4,,2,5,3
Service Request,General Services,5/13/2016,The ISD Service Desk,Other,4,4,5,5,5
Service Request,CDC,5/13/2016,The ISD Service Desk,Other,4,5,4,4,5
Service Request,Board of Supervisors,4/29/2016,The ISD Service Desk,Other,4,4,4,4,4
Service Request,County Administrator,4/22/2016,The ISD Service Desk,Other,4,4,4,4,4
Service Request,Human Resources,2/19/2016,The ISD Datacenter Operations Team,Other,4,4,5,4,4
Service Request,Human Resources,1/29/2016,The ISD Service Desk,Other,4,4,5,4,4
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,1/22/2016,The ISD Desktop Support Team,Other,4,4,3,4,4
Incident,Sheriff's Office,11/17/2015,The ISD Service Desk,Other,4,4,5,4,5
Service Request,Auditor-Controller-Treasurer-Tax Collector,9/25/2015,The ISD Service Desk,Other,4,4,4,4,4
Incident,Agricultural Commissioner,8/28/2015,The ISD Desktop Support Team,Other,4,3,2,3,2
Incident,Human Resources,7/23/2015,The ISD Datacenter Operations Team,Other,4,4,2,2,3
Incident,Probation,3/28/2016,The ISD Desktop Support Team,Peripheral Device,4,4,5,4,4
Incident,Agricultural Commissioner,2/3/2016,The ISD Desktop Support Team,Peripheral Device,4,4,5,4,5
Incident,Human Resources,10/7/2015,The ISD Desktop Support Team,Peripheral Device,4,4,5,4,4
Service Request,Information Systems,7/15/2016,The ISD Desktop Support Team,Personal Computer (PC),4,4,4,4,4
Incident,Auditor-Controller-Treasurer-Tax Collector,12/17/2015,The ISD Desktop Support Team,Personal Computer (PC),4,4,3,4,3
Service Request,Probation,10/23/2015,The ISD Desktop Support Team,Personal Computer (PC),4,4,4,4,4
Service Request,Information Systems,10/9/2015,The ISD Desktop Support Team,Personal Computer (PC),4,4,4,4,4
Incident,Economic Development Board,3/25/2016,The ISD Service Desk,Personal Productivity Software,4,4,4,4,4
Service Request,General Services,1/22/2016,The ISD Desktop Support Team,Personal Productivity Software,4,4,4,4,4
Service Request,Health Services,6/23/2015,The ISD Telephone Team,Phone,4,4,4,4,4
Incident,Probation,4/28/2016,The ISD Service Desk,Technical,4,3,3,3,3
Service Request,Regional Parks,6/3/2016,The ISD Network Infrastructure Team,Access Control Appliance,5,5,5,5,5
Incident,Information Systems,5/11/2016,The ISD Network Infrastructure Team,Access Control Appliance,5,5,5,5,5
Service Request,Probation,3/11/2016,The ISD Desktop Support Team,Access Control Appliance,5,5,5,5,5
Service Request,Human Resources,3/4/2016,The ISD Network Infrastructure Team,Access Control Appliance,5,5,5,5,5
Service Request,Agricultural Commissioner,2/26/2016,The ISD Network Infrastructure Team,Access Control Appliance,5,5,5,5,5
Incident,Sheriff's Office,1/7/2016,The ISD Network Infrastructure Team,Access Control Appliance,5,5,5,5,5
Incident,Community Development Commission,12/11/2015,The ISD Service Desk,Access Control Appliance,5,5,5,5,5
Service Request,Health Services,10/9/2015,The ISD Network Infrastructure Team,Access Control Appliance,5,5,5,5,5
Service Request,Health Services,8/21/2015,The ISD Network Infrastructure Team,Access Control Appliance,5,5,4,5,5
Incident,Transportation & Public Works,7/27/2015,The ISD Network Infrastructure Team,Access Control Appliance,5,5,5,5,5
Service Request,General Services,7/17/2015,The ISD Service Desk,Access Control Appliance,5,5,5,5,5
Service Request,Probation,7/10/2015,The ISD Network Infrastructure Team,Access Control Appliance,5,5,5,5,5
Service Request,General Services,6/19/2015,The ISD Service Desk,Access Control Appliance,5,5,5,5,5
Service Request,Open Space District,6/19/2015,The ISD Service Desk,Access Control Appliance,5,5,5,5,5
Incident,Permit & Resource Management,12/30/2015,The ISD Datacenter Operations Team,Blade Chassis,5,5,5,5,3
Incident,Health Services,6/8/2016,The ISD Network Infrastructure Team,Cabling,5,5,5,5,5
Incident,Health Services,3/7/2016,The ISD Service Desk,Cabling,5,5,5,5,5
Service Request,Health Services,2/19/2016,The ISD Network Infrastructure Team,Cabling,5,5,5,5,5
Service Request,Health Services,1/5/2016,The ISD Telephone Team,Cabling,5,5,5,5,5
Service Request,Information Systems,11/6/2015,The ISD Network Infrastructure Team,Cabling,5,5,5,5,5
Service Request,Sheriff's Office,9/4/2015,The ISD Network Infrastructure Team,Cabling,5,5,5,5,5
Service Request,Auditor-Controller-Treasurer-Tax Collector,9/4/2015,The ISD Network Infrastructure Team,Cabling,5,5,5,5,5
Service Request,General Services,7/24/2015,The ISD Network Infrastructure Team,Cabling,5,5,5,5,5
Incident,Health Services,7/14/2015,The ISD Desktop Support Team,Cabling,5,5,5,5,5
Service Request,Information Systems,7/8/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Human Resources,5/27/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Department of Agricultural,5/20/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,County Counsel,5/13/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Regional Parks,5/6/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Permit and Resource Management,4/29/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Sheriff Admin,4/29/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Board of Supervisors,4/29/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Incident,Health Services,4/25/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,3/25/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Sheriff's Office,3/18/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Permit & Resource Management,3/18/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,3/4/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,3/4/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Probation,2/26/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Sheriff's Office,2/26/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Probation,2/19/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,2/19/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Fire and Emergency Services,1/29/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Sheriff's Office,1/29/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,1/15/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,1/8/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Probation,1/8/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Grand Jury,1/8/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Board of Supervisors,1/1/2016,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Board of Supervisors,12/4/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,11/27/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Permit & Resource Management,11/27/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Transportation & Public Works,11/13/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,11/6/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Permit & Resource Management,11/6/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Fire and Emergency Services,10/30/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,County Administrator's Office,10/16/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Sheriff's Office,10/9/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Permit & Resource Management,10/2/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,10/2/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Fire and Emergency Services,9/11/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Incident,Sonoma County Transportation Authority,9/11/2015,The ISD Desktop Support Team,Cellular Phone,5,5,5,5,4
Service Request,Health Services,9/4/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,8/21/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,County Administrator's Office,7/31/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Regional Parks,7/17/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Probation,7/17/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,7/10/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Permit & Resource Management,7/10/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Sheriff's Office,7/10/2015,The ISD Service Desk,Cellular Phone,5,5,4,5,5
Service Request,Regional Parks,6/26/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Permit & Resource Management,6/5/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,6/5/2015,The ISD Service Desk,Cellular Phone,5,4,4,4,4
Service Request,Fire and Emergency Services,5/29/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Sheriff's Office,5/29/2015,The ISD Service Desk,Cellular Phone,5,5,5,5,5
Service Request,Health Services,8/26/2016,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Auditor Controller Treasurer Tax Collector,8/5/2016,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit and Resource Management,8/5/2016,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,7/29/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Fire & Emergency Services,7/29/2016,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,7/29/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,7/29/2016,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,7/29/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,7/29/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,4,5
Service Request,Sheriff Detention,7/29/2016,The ISD Service Desk,Countywide Business Software,5,4,4,5,5
Service Request,County Administrator,7/29/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,7/29/2016,The ISD Datacenter Operations Team,Countywide Business Software,5,5,5,5,5
Incident,General Services,7/28/2016,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,7/27/2016,The ISD Datacenter Operations Team,Countywide Business Software,5,5,5,5,5
Incident,Probation,7/27/2016,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,7/22/2016,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,7/22/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff Detention,7/22/2016,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,7/22/2016,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Regional Parks,7/22/2016,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,7/22/2016,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit and Resource Management,7/22/2016,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,7/22/2016,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Probation,7/19/2016,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Board of Supervisors,7/19/2016,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,UC Cooperative Extension,7/15/2016,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,7/15/2016,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,District Attorney,7/15/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit and Resource Management,7/15/2016,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,Agricultural Commissioner,7/15/2016,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,7/15/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,7/15/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,7/15/2016,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit and Resource Management,7/15/2016,The ISD Geographic Information System Team,Countywide Business Software,5,5,4,5,5
Service Request,Auditor Controller Treasurer Tax Collector,7/15/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,7/15/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,County Counsel,7/13/2016,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,7/12/2016,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Sheriff Admin,7/11/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,7/8/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,7/8/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,County Counsel,7/8/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,7/8/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,7/1/2016,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,7/1/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,7/1/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,7/1/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,7/1/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,7/1/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,7/1/2016,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,7/1/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Sheriff Law Enforcement,6/28/2016,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Auditor Controller Treasurer Tax Collector,6/28/2016,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,General Services,6/24/2016,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,6/24/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff Detention,6/24/2016,The ISD Integrated Justice System Team,Countywide Business Software,5,5,4,5,5
Service Request,CDC,6/24/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,6/24/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Fire & Emergency Services,6/24/2016,The ISD Service Desk,Countywide Business Software,5,4,5,4,3
Service Request,Probation,6/24/2016,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,6/24/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,6/24/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,6/24/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,6/24/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,County Counsel,6/24/2016,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff Admin,6/24/2016,The ISD Web Services Team,Countywide Business Software,5,5,4,5,5
Service Request,Fire & Emergency Services,6/24/2016,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,6/22/2016,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Incident,Retirement,6/22/2016,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Probation,6/17/2016,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,6/17/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,County Counsel,6/17/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Auditor Controller Treasurer Tax Collector,6/17/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,6/17/2016,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,District Attorney,6/17/2016,The ISD Desktop Support Team,Countywide Business Software,5,4,5,5,5
Service Request,Sheriff Detention,6/17/2016,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,6/17/2016,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff Detention,6/17/2016,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff Detention,6/17/2016,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,6/17/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,District Attorney,6/17/2016,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit and Resource Management,6/17/2016,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
